country,district,year,Avg. NVDI Val
Afghanistan,Nili,1981,1035.219696969697
Afghanistan,Qarqin,1981,643.8516666666667
Afghanistan,Zadran,1981,2018.1083333333333
Afghanistan,Gurbuz,1981,1826.7777777777778
Afghanistan,Parian,1981,947.3578431372549
Afghanistan,Bagram,1981,1514.65
Afghanistan,Omna,1981,1181.148148148148
Afghanistan,Giro,1981,962.2473958333334
Afghanistan,Bangi,1981,1751.25
Afghanistan,Jaghuri,1981,1096.2390873015872
Afghanistan,Farkhar,1981,1483.0172413793102
Afghanistan,Alishang,1981,3231.1388888888887
Afghanistan,Shinkay,1981,978.3636363636364
Afghanistan,Wa Sher,1981,841.3376436781609
Afghanistan,Sayghan,1981,949.9685990338164
Afghanistan,Kahmard,1981,1101.3125
Afghanistan,Dawlat Yar,1981,1142.959595959596
Afghanistan,Paktika,1981,1121.7853881278538
Afghanistan,Tarnak Wa Jaldak,1981,1033.8996913580247
Afghanistan,Azra,1981,1500.6279761904761
Afghanistan,Koh Band,1981,1462.392857142857
Afghanistan,Farah,1981,1139.6332752613241
Afghanistan,Nawa,1981,831.3192307692308
Afghanistan,Qarabagh,1981,1100.095238095238
Afghanistan,Dushi,1981,1524.5322916666667
Afghanistan,Baharak,1981,2138.9523809523807
Afghanistan,Bermel (Burmul),1981,1561.9689542483661
Afghanistan,Deh Salah,1981,1362.612745098039
Afghanistan,Darqad,1981,3036.4871794871797
Afghanistan,Dahana-e-Ghory,1981,1708.9093567251462
Afghanistan,Sozma Qala,1981,1710.3297101449275
Afghanistan,Sabri,1981,2329.8958333333335
Afghanistan,Lal Wa Sarjangal,1981,1085.0950854700855
Afghanistan,Feroz Nakhchir,1981,1385.578231292517
Afghanistan,Wor Mamay,1981,1068.3373333333334
Afghanistan,Logar,1981,1128.6591816367265
Afghanistan,Deh shu,1981,900.9854260089686
Afghanistan,Du Lina,1981,1118.8714689265537
Afghanistan,Guzargah-e- Nur,1981,1202.96875
Afghanistan,Deh Sabz,1981,1144.0277777777778
Afghanistan,Kohistanat,1981,1193.6004098360656
Afghanistan,Shomulzay,1981,932.322072072072
Afghanistan,Chahar Darah,1981,1897.1650326797385
Afghanistan,Zabul,1981,1037.2800402212167
Afghanistan,Shor Abak,1981,831.3662420382166
Afghanistan,Marmul,1981,1590.2420634920634
Afghanistan,Nejrab,1981,1722.45
Afghanistan,Rukha,1981,1287.7916666666667
Afghanistan,Charkh,1981,1180.4015151515152
Afghanistan,Sang(San)Charak,1981,1660.3234126984128
Afghanistan,Khakrez,1981,1008.2870370370371
Afghanistan,Nahr-e-Saraj,1981,1200.96875
Afghanistan,Qorghan,1981,1230.0980392156862
Afghanistan,Zarghun Shahr,1981,1034.513888888889
Afghanistan,Yangi Qala,1981,2166.6805555555557
Afghanistan,Tala wa barfak,1981,1027.127581120944
Afghanistan,Miramor,1981,916.4148745519714
Afghanistan,Khwaja Bahawuddin,1981,2196.5625
Afghanistan,Mata Khan,1981,1075.563725490196
Afghanistan,Ruy-e-Du Ab,1981,1230.071052631579
Afghanistan,Arghandab,1981,1109.4895833333333
Afghanistan,Namak Ab,1981,1332.5458333333333
Afghanistan,Kapisa,1981,1724.8955555555556
Afghanistan,Panjsher,1981,1031.886507936508
Afghanistan,Khoshi,1981,1027.7546296296296
Afghanistan,Mizan,1981,1109.125
