country,district,year,temperature in (K)
Serbia,Srednjebanatski okrug,1984,284.2046534220378
Serbia,Borski okrug,1984,281.79920196533203
Serbia,Grad Beograd,1984,283.82596079508465
Serbia,Pomoravski okrug,1984,282.6870880126953
Serbia,Severnobanatski okrug,1984,283.9621861775716
Serbia,Kosovskomitrovicki okrug,1984,280.71091715494794
Serbia,Macvanski okrug,1984,283.86153411865234
Serbia,Pirotski okrug,1984,281.2464141845703
Serbia,Kolubarski okrug,1984,284.4064687093099
Serbia,Branicevski okrug,1984,282.8210055033366
Serbia,Sumadijski okrug,1984,283.2917938232422
Serbia,Juznobanatski okrug,1984,284.0833206176758
Serbia,Juznobacki okrug,1984,284.1530825297038
Serbia,Severnobacki okrug,1984,283.82584889729816
Serbia,Pcinjski okrug,1984,281.23046112060547
Serbia,Zlatiborski okrug,1984,281.4189618428548
Serbia,Kosovski okrug,1984,282.4428126017253
Serbia,Toplicki okrug,1984,281.8727442423503
Serbia,Rasinski okrug,1984,282.56200154622394
Serbia,Prizrenski okrug,1984,281.94106165568036
Serbia,Zajecarski,1984,282.6680501302083
Serbia,Sremski,1985,283.8487040201823
Serbia,Moravicki okrug,1985,280.9477284749349
Serbia,Nisavski okrug,1985,282.6488215128581
Serbia,Jablanicki okrug,1985,283.1391881306966
Serbia,Raski okrug,1985,281.46944936116535
Serbia,Srednjebanatski okrug,1985,283.5583674112956
Serbia,Borski okrug,1985,281.4106725056966
Serbia,Grad Beograd,1985,283.5807596842448
Serbia,Pomoravski okrug,1985,282.4905827840169
Serbia,Severnobanatski okrug,1985,283.2919413248698
Serbia,Kosovskomitrovicki okrug,1985,281.01502482096356
Serbia,Macvanski okrug,1985,283.93542734781903
Serbia,Pirotski okrug,1985,281.14232635498047
Serbia,Kolubarski okrug,1985,284.4184290568034
Serbia,Branicevski okrug,1985,282.32956314086914
Serbia,Sumadijski okrug,1985,283.3541514078776
Serbia,Juznobanatski okrug,1985,283.5029932657878
Serbia,Juznobacki okrug,1985,283.6891263326009
Serbia,Severnobacki okrug,1985,283.24893442789715
Serbia,Pcinjski okrug,1985,281.22086842854816
Serbia,Zlatiborski okrug,1985,281.7868715922038
Serbia,Kosovski okrug,1985,282.4843241373698
Serbia,Toplicki okrug,1985,281.9530283610026
Serbia,Rasinski okrug,1985,282.6282602945964
Serbia,Prizrenski okrug,1985,282.2355270385742
Serbia,Zajecarski,1985,282.3910166422526
Serbia,Sremski,1986,284.40627161661786
Serbia,Moravicki okrug,1986,281.30846405029297
Serbia,Nisavski okrug,1986,283.3595682779948
Serbia,Jablanicki okrug,1986,283.77752176920575
Serbia,Raski okrug,1986,281.9029006958008
Serbia,Srednjebanatski okrug,1986,284.4621175130208
Serbia,Borski okrug,1986,282.22301228841144
Serbia,Grad Beograd,1986,284.22426350911456
Serbia,Pomoravski okrug,1986,283.2182159423828
Serbia,Severnobanatski okrug,1986,284.27260335286456
Serbia,Kosovskomitrovicki okrug,1986,281.405278523763
Serbia,Macvanski okrug,1986,284.2233606974284
Serbia,Pirotski okrug,1986,281.7274475097656
Serbia,Kolubarski okrug,1986,284.75879160563153
Serbia,Branicevski okrug,1986,283.21937561035156
Serbia,Sumadijski okrug,1986,283.87818908691406
Serbia,Juznobanatski okrug,1986,284.3611539204915
Serbia,Juznobacki okrug,1986,284.4455451965332
Serbia,Severnobacki okrug,1986,284.1061248779297
Serbia,Pcinjski okrug,1986,281.7337646484375
Serbia,Zlatiborski okrug,1986,282.1279780069987
Serbia,Kosovski okrug,1986,283.0182647705078
Serbia,Toplicki okrug,1986,282.51623789469403
Serbia,Rasinski okrug,1986,283.2339808146159
Serbia,Prizrenski okrug,1986,282.56837972005206
Serbia,Zajecarski,1986,283.05765533447266
Serbia,Sremski,1987,284.0556170145671
Serbia,Moravicki okrug,1987,280.93426513671875
Serbia,Nisavski okrug,1987,283.1540018717448
Serbia,Jablanicki okrug,1987,283.6009877522786
Serbia,Raski okrug,1987,281.62352498372394
Serbia,Srednjebanatski okrug,1987,283.85391998291016
Serbia,Borski okrug,1987,282.0527064005534
Serbia,Grad Beograd,1987,283.9124476114909
Serbia,Pomoravski okrug,1987,283.0118942260742
Serbia,Severnobanatski okrug,1987,283.5682678222656
Serbia,Kosovskomitrovicki okrug,1987,281.2278747558594
Serbia,Macvanski okrug,1987,283.9543202718099
Serbia,Pirotski okrug,1987,281.46687571207684
Serbia,Kolubarski okrug,1987,284.5276616414388
Serbia,Branicevski okrug,1987,282.86191685994464
Serbia,Sumadijski okrug,1987,283.59965260823566
Serbia,Juznobanatski okrug,1987,283.8648541768392
Serbia,Juznobacki okrug,1987,283.90965525309247
Serbia,Severnobacki okrug,1987,283.51526133219403
Serbia,Pcinjski okrug,1987,281.607426961263
Serbia,Zlatiborski okrug,1987,281.72894795735675
Serbia,Kosovski okrug,1987,283.03062947591144
Serbia,Toplicki okrug,1987,282.3641637166341
Serbia,Rasinski okrug,1987,283.01993560791016
Serbia,Prizrenski okrug,1987,282.40615463256836
Serbia,Zajecarski,1987,282.85521443684894
Serbia,Sremski,1988,285.0534807840983
Serbia,Moravicki okrug,1988,281.3320795694987
Serbia,Nisavski okrug,1988,283.56980895996094
Serbia,Jablanicki okrug,1988,283.8780466715495
Serbia,Raski okrug,1988,282.05664316813153
