country,district,year,PRECTOTLAND kg m-2 s-1
Serbia,Rasinski okrug,1983,2.485553559752576e-05
Serbia,Zajecarski,1983,1.774924843841082e-05
Serbia,Kolubarski okrug,1983,2.4432781726504674e-05
Serbia,Srednjebanatski okrug,1983,1.4221248718884442e-05
Serbia,Sumadijski okrug,1983,2.3327058966435584e-05
Serbia,Severnobanatski okrug,1983,1.4038350658927988e-05
Serbia,Sremski,1983,2.0202022032715188e-05
Serbia,Prizrenski okrug,1983,2.304038291711663e-05
Serbia,Branicevski okrug,1983,1.873135091286689e-05
Serbia,Toplicki okrug,1984,1.990602064220563e-05
Serbia,Kosovski okrug,1984,1.8685538954343883e-05
Serbia,Severnobacki okrug,1984,1.8191449201133815e-05
Serbia,Pcinjski okrug,1984,1.4949195611204916e-05
Serbia,Moravicki okrug,1984,2.4865229206404314e-05
Serbia,Grad Beograd,1984,2.1506310916031958e-05
Serbia,Zlatiborski okrug,1984,2.4993201782940054e-05
Serbia,Juznobanatski okrug,1984,1.8496856711575698e-05
Serbia,Raski okrug,1984,2.3052589943814735e-05
Serbia,Pirotski okrug,1984,1.3911745523712918e-05
Serbia,Pomoravski okrug,1984,2.104032693218806e-05
Serbia,Borski okrug,1984,1.796613715478025e-05
Serbia,Kosovskomitrovicki okrug,1984,2.3148406233828053e-05
Serbia,Nisavski okrug,1984,1.6804245225148724e-05
Serbia,Macvanski okrug,1984,2.4871723855963206e-05
Serbia,Juznobacki okrug,1984,1.9541387806675124e-05
Serbia,Jablanicki okrug,1984,1.569977354431984e-05
Serbia,Rasinski okrug,1984,2.1205365274883865e-05
Serbia,Zajecarski,1984,1.4330615477102052e-05
Serbia,Kolubarski okrug,1984,2.4921430144628528e-05
Serbia,Srednjebanatski okrug,1984,1.728615235505357e-05
Serbia,Sumadijski okrug,1984,2.2003781227100364e-05
Serbia,Severnobanatski okrug,1984,1.750409059613705e-05
Serbia,Sremski,1984,2.254206314391796e-05
Serbia,Prizrenski okrug,1984,2.2575159489137934e-05
Serbia,Branicevski okrug,1984,1.9277427838323053e-05
Serbia,Toplicki okrug,1985,2.1448405900730767e-05
Serbia,Kosovski okrug,1985,2.0384905790630608e-05
Serbia,Severnobacki okrug,1985,1.9796366525011894e-05
Serbia,Pcinjski okrug,1985,1.6465901001942267e-05
Serbia,Moravicki okrug,1985,2.536034528037116e-05
Serbia,Grad Beograd,1985,2.3806544487451713e-05
Serbia,Zlatiborski okrug,1985,2.509715493855443e-05
Serbia,Juznobanatski okrug,1985,2.2997569839860394e-05
Serbia,Raski okrug,1985,2.3912181963008867e-05
Serbia,Pirotski okrug,1985,1.5912962379102976e-05
Serbia,Pomoravski okrug,1985,2.2895060466648294e-05
Serbia,Borski okrug,1985,2.129455327744741e-05
Serbia,Kosovskomitrovicki okrug,1985,2.4761214848487453e-05
Serbia,Nisavski okrug,1985,2.0535548150155433e-05
Serbia,Macvanski okrug,1985,2.4822752476320414e-05
Serbia,Juznobacki okrug,1985,2.1562436063327084e-05
Serbia,Jablanicki okrug,1985,1.850711739069687e-05
Serbia,Rasinski okrug,1985,2.2642135068689446e-05
Serbia,Zajecarski,1985,1.7519335150447308e-05
Serbia,Kolubarski okrug,1985,2.4169923838061418e-05
Serbia,Srednjebanatski okrug,1985,2.0984377740439362e-05
Serbia,Sumadijski okrug,1985,2.3012785739931177e-05
Serbia,Severnobanatski okrug,1985,1.955678633011912e-05
Serbia,Sremski,1985,2.3534246408749323e-05
Serbia,Prizrenski okrug,1985,2.5262748756554876e-05
Serbia,Branicevski okrug,1985,2.235068109820067e-05
Serbia,Toplicki okrug,1986,1.983000722027839e-05
Serbia,Kosovski okrug,1986,2.030027903110465e-05
Serbia,Severnobacki okrug,1986,1.557617902858688e-05
Serbia,Pcinjski okrug,1986,1.7798106119620234e-05
Serbia,Moravicki okrug,1986,2.4438233689336483e-05
Serbia,Grad Beograd,1986,2.0285446447745573e-05
Serbia,Zlatiborski okrug,1986,2.4313309228930615e-05
Serbia,Juznobanatski okrug,1986,1.8041697876410485e-05
Serbia,Raski okrug,1986,2.1363387437152898e-05
Serbia,Pirotski okrug,1986,1.5751633136742685e-05
Serbia,Pomoravski okrug,1986,1.8513529735426142e-05
Serbia,Borski okrug,1986,1.7480281272241882e-05
Serbia,Kosovskomitrovicki okrug,1986,2.283146872391247e-05
Serbia,Nisavski okrug,1986,1.632077921974605e-05
Serbia,Macvanski okrug,1986,2.3375669370137883e-05
Serbia,Juznobacki okrug,1986,1.6805884066853042e-05
Serbia,Jablanicki okrug,1986,1.6876288750664356e-05
Serbia,Rasinski okrug,1986,1.9190334257580667e-05
Serbia,Zajecarski,1986,1.569484049533819e-05
Serbia,Kolubarski okrug,1986,2.3443795906648763e-05
Serbia,Srednjebanatski okrug,1986,1.631189060101611e-05
Serbia,Sumadijski okrug,1986,1.9689999650888506e-05
Serbia,Severnobanatski okrug,1986,1.5096115993608174e-05
Serbia,Sremski,1986,2.0033159376511537e-05
Serbia,Prizrenski okrug,1986,2.4505444224745235e-05
Serbia,Branicevski okrug,1986,1.767847062487486e-05
Serbia,Toplicki okrug,1987,2.0562272365983365e-05
Serbia,Kosovski okrug,1987,1.8248931258766118e-05
Serbia,Severnobacki okrug,1987,1.93554405559916e-05
Serbia,Pcinjski okrug,1987,1.7683095194589685e-05
Serbia,Moravicki okrug,1987,2.7012485260750434e-05
Serbia,Grad Beograd,1987,2.4415431577532825e-05
Serbia,Zlatiborski okrug,1987,2.7136344332687498e-05
Serbia,Juznobanatski okrug,1987,2.2354832355908627e-05
Serbia,Raski okrug,1987,2.409108093854368e-05
Serbia,Pirotski okrug,1987,1.8656228274041256e-05
Serbia,Pomoravski okrug,1987,2.2385280578814577e-05
Serbia,Borski okrug,1987,2.041433076824559e-05
Serbia,Kosovskomitrovicki okrug,1987,2.3459765342989966e-05
Serbia,Nisavski okrug,1987,2.0296730235970352e-05
Serbia,Macvanski okrug,1987,2.6376018006936243e-05
Serbia,Juznobacki okrug,1987,2.1286840189501294e-05
Serbia,Jablanicki okrug,1987,1.878571309907626e-05
Serbia,Rasinski okrug,1987,2.2201956510493738e-05
Serbia,Zajecarski,1987,1.9044256851804182e-05
Serbia,Kolubarski okrug,1987,2.6426643144203707e-05
Serbia,Srednjebanatski okrug,1987,2.0360819817908135e-05
Serbia,Sumadijski okrug,1987,2.3362158295409723e-05
Serbia,Severnobanatski okrug,1987,1.8632209808405127e-05
Serbia,Sremski,1987,2.3889082796972143e-05
Serbia,Prizrenski okrug,1987,2.104050898527671e-05
Serbia,Branicevski okrug,1987,2.1241792492965317e-05
Serbia,Toplicki okrug,1988,1.8693295994169173e-05
Serbia,Kosovski okrug,1988,1.6751407784725776e-05
Serbia,Severnobacki okrug,1988,1.469028492332806e-05
Serbia,Pcinjski okrug,1988,1.5546395095871685e-05
Serbia,Moravicki okrug,1988,2.2523545169406134e-05
Serbia,Grad Beograd,1988,1.77578568941862e-05
Serbia,Zlatiborski okrug,1988,2.2606051438210804e-05
Serbia,Juznobanatski okrug,1988,1.5831878460412537e-05
Serbia,Raski okrug,1988,2.0991522001029888e-05
Serbia,Pirotski okrug,1988,1.6061983018856986e-05
Serbia,Pomoravski okrug,1988,1.7952312642381212e-05
Serbia,Borski okrug,1988,1.6826740002646228e-05
Serbia,Kosovskomitrovicki okrug,1988,2.05777076825638e-05
Serbia,Nisavski okrug,1988,1.7904903081116747e-05
Serbia,Macvanski okrug,1988,2.002315007862718e-05
Serbia,Juznobacki okrug,1988,1.582891317950283e-05
Serbia,Jablanicki okrug,1988,1.6955655016791403e-05
Serbia,Rasinski okrug,1988,1.9594387348270066e-05
Serbia,Zajecarski,1988,1.61477670933922e-05
Serbia,Kolubarski okrug,1988,1.898768107134864e-05
Serbia,Srednjebanatski okrug,1988,1.5327851825119865e-05
Serbia,Sumadijski okrug,1988,1.8688703629088366e-05
Serbia,Severnobanatski okrug,1988,1.4513189166700772e-05
Serbia,Sremski,1988,1.6983984664678234e-05
Serbia,Prizrenski okrug,1988,1.897060941713491e-05
Serbia,Branicevski okrug,1988,1.6165666827679576e-05
Serbia,Toplicki okrug,1989,2.177671191836181e-05
Serbia,Kosovski okrug,1989,2.0933984627892323e-05
Serbia,Severnobacki okrug,1989,1.749723626945057e-05
Serbia,Pcinjski okrug,1989,1.9468804369093817e-05
Serbia,Moravicki okrug,1989,2.6541778224340204e-05
Serbia,Grad Beograd,1989,2.2861223004137326e-05
Serbia,Zlatiborski okrug,1989,2.692396451327757e-05
Serbia,Juznobanatski okrug,1989,1.9205633628684006e-05
Serbia,Raski okrug,1989,2.4388515665860507e-05
Serbia,Pirotski okrug,1989,1.7590249621927494e-05
Serbia,Pomoravski okrug,1989,2.3642640081354847e-05
Serbia,Borski okrug,1989,2.1350157794684953e-05
Serbia,Kosovskomitrovicki okrug,1989,2.3804633887378498e-05
Serbia,Nisavski okrug,1989,1.929274438951091e-05
Serbia,Macvanski okrug,1989,2.5640572990050083e-05
Serbia,Juznobacki okrug,1989,1.8414122489189094e-05
Serbia,Jablanicki okrug,1989,1.922380995071175e-05
Serbia,Rasinski okrug,1989,2.237241927637178e-05
Serbia,Zajecarski,1989,1.719312273815474e-05
Serbia,Kolubarski okrug,1989,2.5075861732935954e-05
Serbia,Srednjebanatski okrug,1989,1.7442018661976515e-05
Serbia,Sumadijski okrug,1989,2.412495561247378e-05
Serbia,Severnobanatski okrug,1989,1.7113499016513994e-05
Serbia,Sremski,1989,2.120709092448239e-05
Serbia,Prizrenski okrug,1989,2.2189280168036537e-05
Serbia,Branicevski okrug,1989,2.3627376672052947e-05
Serbia,Toplicki okrug,1990,1.2157535264536693e-05
Serbia,Kosovski okrug,1990,1.2509139315497464e-05
Serbia,Severnobacki okrug,1990,1.3918566174966588e-05
Serbia,Pcinjski okrug,1990,1.1156653921546362e-05
Serbia,Moravicki okrug,1990,1.7112910233170926e-05
Serbia,Grad Beograd,1990,1.4496392181959391e-05
Serbia,Zlatiborski okrug,1990,1.7000253808142753e-05
Serbia,Juznobanatski okrug,1990,1.3388760653783768e-05
Serbia,Raski okrug,1990,1.4356687379270107e-05
Serbia,Pirotski okrug,1990,1.2083861294500923e-05
Serbia,Pomoravski okrug,1990,1.4031808660380168e-05
Serbia,Borski okrug,1990,1.3540981114267146e-05
Serbia,Kosovskomitrovicki okrug,1990,1.510495340520082e-05
Serbia,Nisavski okrug,1990,1.2310225452338841e-05
Serbia,Macvanski okrug,1990,1.6547492420847397e-05
Serbia,Juznobacki okrug,1990,1.4282116523804215e-05
